"huid","Tabloid_dict","Non_tabliod_dict"
3077363964,0,0
4159486233,0.01,0
1910870309,0.00602,0.00602
2887809930,0,0
4734329251,0,0
3414560556,0.0032,0.0048
2308372075,0.00645,0
2079631761,0,0
2288791581,0,0.01333
4577515242,0,0
4502830170,0,0.00714
2820222399,0.00667,0
2193742349,0.008,0
1999401266,0.00823,0.02058
3405267766,0,0
4673359003,0,0
5869405707,0.00521,0
4713005153,0.0069,0
4028712120,0.01012,0
2632085713,0.01379,0
2201443285,0.00879,0
4902380930,0.00543,0
4819871550,0,0
5704094247,0.01932,0
2970036832,0,0
2703156069,0,0
4001284488,0.00412,0
5673921881,0,0
6131566327,0.00787,0
1927872498,0.01812,0
4316512084,0,0
2440453861,0.0083,0.00415
5963733826,0,0
2204061720,0,0
2034605778,0,0
2272590993,0.01869,0
2580747469,0.00342,0.00342
3012895969,0.00859,0.00172
4884533671,0,0
4197318267,0,0
2344490941,0,0
2019556087,0,0.00351
5372136518,0,0
2126417064,0.00347,0.00694
2810807025,0.01016,0.00085
4854868816,0.00322,0.00161
2071675256,0.01802,0.0045
3624764465,0.008,0
5900038200,0,0.02
5283083030,0.00909,0
2697645930,0.02381,0
3330540210,0.00971,0.00324
4904956402,0,0
2587977136,0.00685,0
5376975424,0.00306,0.00153
1974019091,0.0061,0
5538915502,0,0
3350495415,0,0.00515
5799566815,0.00476,0
4708452943,0.00386,0
2740495944,0,0
6035488143,0.00564,0.00188
3607696037,0.00217,0.00868
3242190577,0.01679,0.00611
5242335159,0.00329,0.00329
4541166082,0.00457,0
5419944882,0.00935,0
3366286601,0.01027,0
3026609436,0.0082,0.0041
2406932329,0.00521,0
4059576929,0.0068,0
5783791519,0,0.00901
5591154514,0.00309,0
5209623818,0,0
2076886212,0,0
2659152709,0.01111,0.01944
2857324104,0.00253,0.00759
3209529751,0,0
5558500304,0.00556,0
4788436797,0,0.00515
4857576194,0,0
4435083324,0.01905,0.00952
5543727949,0.00388,0.00388
2814142740,0.01304,0
3769864428,0,0.00405
3633869139,0,0.00526
3937391880,0,0.00538
4718492829,0.00312,0.00312
3270067174,0.00649,0
2740556829,0,0
2840118146,0.00535,0
2524158666,0.0105,0
2485309789,0.00474,0.00474
2120811611,0,0.02381
4518008437,0,0.00752
5514736431,0,0.00255
2426013178,0.00662,0.00331
3267812060,0,0.01095
4040802944,0.01667,0
3186386599,0,0.00524
4220772155,0,0
5227934541,0.00242,0.00966
5686649315,0,0
4431521857,0.00173,0.01209
6139540346,0.00324,0.00243
4289282303,0.0051,0
5418389106,0,0
2300290443,0,0
4006159579,0.03077,0
5797385310,0.00877,0
5049945145,0.01802,0
5073746540,0.01333,0
5176070646,0.00735,0
6010863443,0,0
5028146962,0,0.0119
4729445015,0.00222,0.00887
2197342074,0.00568,0
2169363296,0,0
2961171572,0,0
1994020630,0.00893,0.00893
3318619167,0.00896,0
4882629004,0,0
5475213826,0.00855,0
6098245831,0.00896,0
1873702820,0.01269,0.00254
4229761282,0,0
3046112670,0.00268,0
4131096866,0,0
4387347936,0,0
2008275577,0,0.00299
4274747069,0,0
2682547451,0.00699,0
4221704379,0.00189,0.00189
4774406394,0.00809,0.0027
4078919870,0.01333,0
3048887784,0.01587,0.00159
4728905925,0.00505,0
4766882736,0.01682,0.0107
4324713673,0.00625,0
2063842801,0.01228,0.00136
2129850564,0,0
3573053380,0.01299,0
2061634331,0,0
2867836274,0.0087,0.0029
2331668241,0,0.00455
3911767568,0.00314,0.00314
2066525773,0,0.00355
2329727298,0.01622,0
4589703062,0.00962,0.00962
6051726252,0.01653,0
3273533965,0.01408,0
3492393333,0.00546,0
2417414738,0.00376,0
5953000587,0.03279,0
1853259004,0,0
5098662754,0,0.00885
1964534411,0,0
2046751503,0.00546,0
3328498000,0.04403,0
5830726918,0.00412,0.00412
5389737154,0.00467,0
3156730771,0.00637,0
3363284858,0.00299,0.00299
5926257342,0,0
4744566701,0,0
2341427736,0.01429,0
5196370312,0,0
6078351911,0.00463,0.00926
2473752871,0.00783,0.00196
2133861456,0.00518,0
2438900148,0,0.06667
6142873476,0,0.00303
3984467230,0.00772,0
3758891340,0.01235,0
4900768811,0,0.00369
4228005187,0,0.00554
2106519643,0,0.00855
3226261898,0,0
5744565295,0.00324,0.00454
2275163017,0,0
2981264212,0.00426,0
4939668328,0.00556,0
4311118990,0.00327,0.00327
4422420813,0,0
5375212597,0.00291,0.00146
5080332654,0,0
1998744393,0.00394,0.01181
3446837641,0,0.00645
2759968059,0,0
3747616928,0.00699,0
3654324223,0.00422,0.00422
2932981857,0.00285,0.00285
3421738285,0.00256,0.00256
2452200928,0.01064,0
3619970608,0.00806,0
2633788189,0.01149,0
3074958161,0,0
3490969589,0.00229,0
3613627700,0.00465,0.00465
2912322807,0,0
3033751283,0,0
3618337057,0.008,0
5490265431,0.01471,0.0049
1919043915,0,0.00543
3557109543,0.01288,0.01288
5482654892,0.00256,0.00128
5312986051,0.00958,0.00319
5607858385,0.00295,0.00736
2442681896,0,0
2063630821,0,0
4394867176,0.00301,0.00602
4023285273,0,0
4240488551,0.00403,0.00403
2634125571,0.00476,0
5671747509,0,0
2220168527,0,0
4618543764,0,0.0069
2399364470,0,0
4542252417,0.01905,0
3612932001,0.0229,0
2323581094,0.00538,0.01075
5361872239,0.00813,0.00813
4408819595,0,0.00488
2264883697,0,0
5907908368,0.0045,0
5117537878,0.00621,0
2555782878,0.00262,0.00262
4052994781,0.01408,0
4042141853,0.00383,0.00383
4960555778,0,0
5509955599,0.0057,0.0057
4408523676,0.00306,0
2636368752,0,0
2958645805,0,0.00962
5860590881,0,0
5007163215,0.00429,0
2249448477,0.01008,0.00403
3227551897,0.08108,0
4251599848,0.00415,0.00415
2414040422,0,0
2093310688,0,0
5728294278,0.00654,0
3745747411,0.00866,0
2533954917,0.00588,0
5831152619,0.00441,0.01322
5548682302,0,0
5143966217,0.00877,0.00877
2279980542,0,0.00503
4378700858,0.00552,0
2804247850,0.0107,0
4272852071,0.00332,0
4544382562,0.00893,0
6105907341,0,0.00725
2557548338,0,0
5261392356,0.01471,0.00184
5685372574,0.00326,0
5341899632,0.00645,0
1913423351,0.00358,0.00179
5239392364,0,0.00909
3880032058,0.00671,0
4768325596,0.01515,0
3853240316,0.00377,0.00377
5259911985,0.0082,0.0041
1902859476,0.00424,0.00212
4739847801,0.00478,0.00159
5323118645,0.01563,0
5012636748,0.0049,0
2888380510,0.01042,0
4042565220,0.00306,0.00306
5854181695,0.01961,0
5080492289,0.0042,0
2073036477,0.00441,0
5364931159,0,0.02326
2592137307,0,0
2836798475,0.00966,0
4571159834,0,0
3382382176,0.00476,0.01905
4802020621,0.00725,0
2351652433,0,0.0076
5021463525,0.0058,0.0029
4623727227,0.01471,0
4440129746,0,0.00621
4419869390,0.01105,0.00276
2310782463,0,0.00571
5606723674,0,0
3451685652,0.00469,0.00939
3534842338,0.00641,0
2984534537,0.00383,0.00766
3862440353,0.00256,0.00895
5721303844,0.00913,0.00457
2262026479,0,0
5800078452,0.00938,0.00313
3747871925,0.00556,0
4674655831,0,0
5168265955,0.00741,0
3129499558,0.01707,0.00488
5746073172,0,0
4758996190,0,0
2865186268,0.01031,0
5384905960,0,0
2933183052,0,0.02299
2999637097,0.00719,0
4242594837,0,0.03529
2865122871,0.00397,0
4259597153,0,0
3900542585,0,0
4236175214,0.00224,0.00224
3364691144,0.01119,0
5894646930,0,0
1898527070,0.00917,0.00459
2629196638,0.01503,0.0041
2634896191,0.00271,0.00271
5940958881,0,0
2625210695,0,0
1879871038,0,0
2760978629,0.00503,0
4820808225,0.00794,0.01111
3199612023,0,0
5254019429,0.01724,0
3035658304,0.02222,0
2721147451,0.00221,0.00442
2908814617,0,0
5958337946,0.0015,0.003
4759622804,0.00626,0.00418
4244281789,0,0
5149846348,0.01304,0
2142889462,0,0.01215
3533867711,0.00398,0
2945122379,0.00183,0
5823271749,0,0.00258
2968168197,0,0.00565
5831231104,0,0
4374204951,0.01913,0.00273
3354325906,0,0.00873
5754884407,0,0.00535
3068894063,0.00623,0
4576625545,0,0
2697065343,0.02454,0
5314447273,0.00595,0
5948911293,0.00588,0
4565240239,0,0.0018
5821496237,0.03175,0
3734629484,0.00871,0.00174
2021352182,0.0073,0
2834945409,0.03053,0.01527
2061112291,0.00685,0
2922279786,0,0.00662
4398352289,0,0
3579506357,0.00887,0
3207341308,0,0
2304844819,0,0
4931661001,0,0
2529286997,0,0
4608800992,0,0.01103
4635952424,0.00621,0.00311
4842498267,0,0
4177577807,0.00455,0
4379484313,0.00625,0
3125377326,0,0
3060389742,0.00629,0
4591077169,0,0
4174221565,0,0
3014001406,0.01064,0.00532
3276240183,0.02273,0
2172556467,0.02703,0
5971482227,0.01266,0.01266
4944106960,0,0
4455706892,0,0
4259284814,0,0
5975828045,0,0
5550182233,0,0
3490798225,0,0.00386
3028921954,0,0
5637069344,0.0033,0.0033
4565242651,0.00893,0
4596562882,0.00697,0.00299
4781699668,0,0
3912359550,0,0.02
4406800726,0,0.00589
3427248736,0,0.00676
2522329932,0,0.00606
4276519455,0.01739,0
4649872305,0.00685,0.00685
2148235001,0.00435,0
4088807504,0.00645,0
3404329660,0.00578,0
5531214639,0,0
5800927086,0.01093,0
2313659412,0,0
2652233034,0.00216,0.00216
6014178829,0,0
2724811214,0.00879,8e-04
1920088039,0.0083,0
3542411740,0.00532,0.00532
2462011831,0,0.00532
5379479485,0,0
2898048176,0.0044,0.0022
2735925151,0,0.00131
5515230517,0,0
2592603190,0.00562,0
4272962873,0,0
4532010940,0.01149,0
5621287680,0,0.00565
3812062078,0,0
5330158238,0,0
2187134127,0,0
2523917431,0,0.00722
2122956508,0,0
2584788422,0.01563,0
3925710283,0.01117,0
2962023567,0.02256,0
5846544161,0.00962,0
4796876367,0,0
1926227929,0.00588,0.00196
3944646945,0,0
6060213980,0.00314,0
2563531005,0.01449,0.00725
3054174394,0.01587,0
3906215774,0.02362,0
1976139654,0,0
5592101851,0,0.01
3304299833,0.00388,0.00388
5476343305,0.00633,0
2110916833,0.00254,0
4505968678,0,0.00521
